startDate,endDate,state,calendarYear,cumulativeInState,nationality,totalByNationality,destinationCity,yearlyNumberByCity,cumulativeAgain
From: 01 Jan 2002,To: 31 Dec 2019,Wisconsin,2016,"1,877",Belarus,0,Shorewood,0,"1,877"
From: 01 Jan 2002,To: 31 Dec 2019,Wisconsin,2017,585,Belarus,0,Shorewood,0,585
From: 01 Jan 2002,To: 31 Dec 2019,Wisconsin,2018,472,Belarus,0,Shorewood,0,472
From: 01 Jan 2002,To: 31 Dec 2019,Wisconsin,2019,480,Belarus,0,Shorewood,0,480
From: 01 Jan 2002,To: 31 Dec 2019,Wisconsin,2002,214,Belarus,8,Thiensville,0,214
From: 01 Jan 2002,To: 31 Dec 2019,Wisconsin,2003,242,Belarus,1,Thiensville,0,242
From: 01 Jan 2002,To: 31 Dec 2019,Wisconsin,2004,"2,414",Belarus,13,Thiensville,0,"2,414"
From: 01 Jan 2002,To: 31 Dec 2019,Wisconsin,2005,"1,170",Belarus,9,Thiensville,2,"1,170"
From: 01 Jan 2002,To: 31 Dec 2019,Wisconsin,2006,330,Belarus,6,Thiensville,0,330
From: 01 Jan 2002,To: 31 Dec 2019,Wisconsin,2007,353,Belarus,1,Thiensville,0,353
From: 01 Jan 2002,To: 31 Dec 2019,Wisconsin,2008,457,Belarus,0,Thiensville,0,457
From: 01 Jan 2002,To: 31 Dec 2019,Wisconsin,2009,629,Belarus,0,Thiensville,0,629
From: 01 Jan 2002,To: 31 Dec 2019,Wisconsin,2010,846,Belarus,1,Thiensville,0,846
From: 01 Jan 2002,To: 31 Dec 2019,Wisconsin,2011,687,Belarus,0,Thiensville,0,687
